KOR,RUS
3D 지도,3D карта
강의 계획서,План курса
강의 녹화,Запись лекции
강의 자료,Учебные материалы
강의 평가,Оценка курса
강의실 예약,Бронирование аудитории
개인정보 처리방침,Политика конфиденциальности
거리 단위 설정,Единицы измерения расстояния
거리 우선,Приоритет расстояния
거리 측정 도구,Инструмент измерения расстояния
거리 측정,Измерение расстояния
거리,Расстояние
거절,Не согласен
검색 결과 정렬,Сортировка результатов поиска
검색 결과 필터,Фильтрация результатов поиска
검색 결과,Результаты поиска
검색 기록,История поиска
검색 옵션,Параметры поиска
검색 제안,Предложения поиска
검색,Поиск
검색어 삭제,Удалить поисковый запрос
검색어 자동완성,Автозаполнение поискового запроса
검색창, Строка поиска
결제 내역,История платежей
경로 공유,Поделиться маршрутом
경로 다시 탐색,Повторный поиск маршрута
경로 상세 정보,Подробная информация о маршруте
경로 업데이트,Обновить маршрут
경로 옵션,Параметры маршрута
경로 재탐색,Пересчитать маршрут
경로 저장,Сохранить маршрут
경로 정보,Информация о маршруте
경로 찾기,Построить маршрут
경유지 추가,Добавить промежуточный пункт
계속,Продолжить
계정 관리,Управление аккаунтом
계정 복구,Восстановить аккаунт
계정 비활성화,Деактивировать аккаунт
계정 연동,Связать аккаунт
계정 정지,Заблокировать аккаунт
계정 활성화,Активировать аккаунт
고객 지원, Служба поддержки
고객센터,Служба поддержки
공개,Публично
공공 데이터 조회,Просмотр государственных данных
공공 데이터 활용,Использование государственных данных
공공 데이터,Государственные данные
공공서비스,Государственные услуги
공동 인증서,Общий сертификат
공사 구간,Ремонтные работы
공유, Поделиться
공지사항 구독,Подписаться на объявления
공지사항,Объявления
과목 등록,Регистрация предмета
과목 목록,Список предметов
과목 변경,Изменить предмет
과목 삭제,Удалить предмет
과목 정보,Информация о предмете
과제 마감일,Срок сдачи задания
과제 제출,Отправка задания
과제 확인,Проверка задания
교수 포털,Портал преподавателя
교수진 소개,Преподаватели
교육 과정 안내,Информация об учебных программах
교직원 포털,Портал сотрудников
교통 정보 업데이트,Обновить информацию о пробках
교통 정보,Информация о движении
교통 제어 구역,Зона контроля движения
교통 지도,Карта дорожного движения
교통 카메라 보기,Просмотр дорожных камер
교통 혼잡도,Пробки на дорогах
교통량 보기,Просмотр загруженности дорог
교통사고 알림,Уведомление об аварии
교통사고 정보,Информация об авариях
교통카드 정보,Информация о транспортной карте
교환학생 프로그램,Программа обмена
구매하기, Купить
국제교류,Международные обмены
기부 안내,Информация о пожертвованиях
기부금 신청,Подать заявку на пожертвование
기부자 명단,Список доноров
기숙사 신청,Подать заявку в общежитие
기숙사 안내,Информация об общежитии
길 안내,Навигация
길찾기 기록 삭제,Удалить историю маршрутов
길찾기 기록 저장,Сохранить историю маршрутов
길찾기 기록 확인,Проверить историю маршрутов
길찾기 메모,Заметки к маршруту
길찾기 문제 신고,Сообщить о проблеме маршрута
길찾기 설정,Настройки маршрута
길찾기 안내 음성 설정,Настройка голосовых подсказок
길찾기 오류,Ошибка маршрута
길찾기 옵션 설정,Настройка параметров маршрута
길찾기 옵션,Настройки маршрута
길찾기 재탐색,Повторный поиск маршрута
길찾기 정보 공유,Поделиться информацией маршрута
길찾기 취소,Отменить маршрут
길찾기 히스토리,История маршрутов
길찾기,Построить маршрут
나의 정보,Мои данные
날씨 오버레이,Наложение информации о погоде
날씨 정보,Информация о погоде
날짜 선택,Выбрать дату
납부 확인,Подтверждение уплаты
납부서 출력,Печать платёжного документа
내 계정,Мой аккаунт
내 위치,Моё местоположение
내 주변,Рядом со мной
내비게이션 기록,История навигации
내비게이션 시작,Начать навигацию
내비게이션 일시정지,Приостановить навигацию
내비게이션 재개,Возобновить навигацию
네트워크 끊기,Отключиться от сети
네트워크 상태,Состояние сети
네트워크 설정,Настройка сети
네트워크 연결,Подключиться к сети
네트워크 오류,Ошибка сети
다운로드 링크,Ссылка для скачивания
다운로드 완료,Загрузка завершена
다운로드 요청,Запросить скачивание
다운로드 중,Загрузка…
다운로드, Скачать
다음 경로,Следующий маршрут
다음,Далее
다크 모드,Тёмный режим
닫기,Закрыть
담당자 변경,Сменить ответственного
담당자 정보,Информация об ответственном
담당자,Ответственный
답변 대기,Ожидание ответа
답변 발송,Отправить ответ
답변 수정,Изменить ответ
답변 완료 알림,Уведомление об ответе
